,precision,recall,f1-score,support
0,0.0,0.0,0.0,308.0
6,0.0,0.0,0.0,0.0
accuracy,0.0,0.0,0.0,0.0
macro avg,0.0,0.0,0.0,308.0
weighted avg,0.0,0.0,0.0,308.0
